ACB,Nợ đủ tiêu chuẩn	334,727,630,000	326,710,962,000	352,465,842,000	370,927,945,000
ACB,Nợ cần chú ý	864,992,000	2,432,131,000	1,897,953,000	1,607,411,000
ACB,Nợ dưới tiêu chuẩn	560,240,000	638,864,000	537,788,000	273,424,000
ACB,Nợ nghi ngờ	528,703,000	723,941,000	882,155,000	911,934,000
ACB,Nợ có khả năng mất vốn	1,240,964,000	1,459,680,000	1,379,421,000	1,933,879,000
BAB,Nợ đủ tiêu chuẩn	77,374,389,000	77,413,617,000	83,787,699,000	86,157,014,000
BAB,Nợ cần chú ý	131,889,000	160,962,000	155,377,000	168,384,000
BAB,Nợ dưới tiêu chuẩn	41,449,000	39,763,000	61,465,000	45,763,000
BAB,Nợ nghi ngờ	289,219,000	298,249,000	40,122,000	51,569,000
BAB,Nợ có khả năng mất vốn	310,478,000	304,249,000	553,716,000	556,814,000
BID,Nợ đủ tiêu chuẩn	1,262,191,237,000	1,292,617,719,000	1,325,854,570,000	1,384,379,024,000
BID,Nợ cần chú ý	14,077,536,000	14,629,581,000	15,533,305,000	19,744,661,000
BID,Nợ dưới tiêu chuẩn	3,335,142,000	4,403,854,000	2,814,401,000	2,276,244,000
BID,Nợ nghi ngờ	2,150,626,000	3,148,128,000	3,450,977,000	2,770,462,000
BID,Nợ có khả năng mất vốn	15,690,546,000	13,880,711,000	6,979,390,000	8,683,756,000
CTG,Nợ đủ tiêu chuẩn	1,057,876,296,000	1,061,583,246,000	1,104,465,335,000	1,200,713,556,000
CTG,Nợ cần chú ý	4,227,693,000	4,925,069,000	11,901,967,000	13,543,998,000
CTG,Nợ dưới tiêu chuẩn	970,050,000	2,923,394,000	7,095,731,000	6,232,412,000
CTG,Nợ nghi ngờ	1,213,055,000	11,630,648,000	2,003,066,000	1,993,653,000
CTG,Nợ có khả năng mất vốn	12,293,700,000	3,543,435,000	5,201,668,000	7,095,479,000
EIB,Nợ đủ tiêu chuẩn	103,440,169,000	101,515,501,000	111,422,034,000	119,142,805,000
EIB,Nợ cần chú ý	773,911,000	1,432,525,000	1,005,300,000	989,603,000
EIB,Nợ dưới tiêu chuẩn	230,363,000	369,066,000	326,126,000	171,574,000
EIB,Nợ nghi ngờ	366,947,000	536,585,000	564,576,000	811,257,000
EIB,Nợ có khả năng mất vốn	1,541,410,000	1,392,997,000	1,356,594,000	1,438,032,000
EVF,Nợ đủ tiêu chuẩn	13,523,705,000	12,671,540,000	16,028,688,000	17,904,752,000
EVF,Nợ cần chú ý	134,851,000	353,327,000	384,375,000	208,669,000
EVF,Nợ dưới tiêu chuẩn	98,242,000	89,681,000	284,592,000	89,101,000
EVF,Nợ nghi ngờ	94,737,000	125,712,000	56,391,000	172,615,000
EVF,Nợ có khả năng mất vốn	154,152,000	133,687,000	95,908,000	96,044,000
HDB,Nợ đủ tiêu chuẩn	186,981,408,000	183,025,296,000	194,513,332,000	215,939,616,000
HDB,Nợ cần chú ý	2,532,526,000	5,810,039,000	5,337,496,000	5,673,591,000
HDB,Nợ dưới tiêu chuẩn	642,435,000	943,289,000	1,600,455,000	835,798,000
HDB,Nợ nghi ngờ	712,778,000	582,805,000	878,136,000	2,033,944,000
HDB,Nợ có khả năng mất vốn	971,925,000	1,153,384,000	881,482,000	670,946,000
LPB,Nợ đủ tiêu chuẩn	186,741,860,000	191,362,381,000	204,527,717,000	202,646,391,000
LPB,Nợ cần chú ý	1,805,082,000	1,684,513,000	1,648,901,000	2,149,163,000
LPB,Nợ dưới tiêu chuẩn	1,000,005,000	428,052,000	419,537,000	482,070,000
LPB,Nợ nghi ngờ	416,118,000	974,393,000	1,041,655,000	451,121,000
LPB,Nợ có khả năng mất vốn	1,264,688,000	1,380,277,000	1,316,326,000	2,020,283,000
MBB,Nợ đủ tiêu chuẩn	320,693,725,000	322,535,773,000	349,222,505,000	398,978,438,000
MBB,Nợ cần chú ý	2,479,344,000	3,709,439,000	3,912,949,000	4,859,334,000
MBB,Nợ dưới tiêu chuẩn	1,156,386,000	1,220,648,000	1,433,433,000	1,322,871,000
MBB,Nợ nghi ngờ	810,768,000	1,112,378,000	1,015,111,000	1,538,168,000
MBB,Nợ có khả năng mất vốn	564,191,000	853,416,000	819,491,000	1,268,903,000
MSB,Nợ đủ tiêu chuẩn	88,754,090,000	94,792,575,000	98,632,895,000	107,807,308,000
MSB,Nợ cần chú ý	782,319,000	1,297,017,000	1,160,921,000	794,003,000
MSB,Nợ dưới tiêu chuẩn	289,588,000	219,731,000	344,979,000	324,140,000
MSB,Nợ nghi ngờ	578,238,000	584,745,000	469,210,000	548,133,000
MSB,Nợ có khả năng mất vốn	976,740,000	1,102,281,000	954,604,000	1,104,921,000
NVB,Nợ đủ tiêu chuẩn	39,716,361,000	40,660,575,000	37,953,654,000	37,210,764,000
NVB,Nợ cần chú ý	534,481,000	463,742,000	2,587,057,000	3,154,827,000
NVB,Nợ dưới tiêu chuẩn	49,115,000	83,616,000	228,223,000	603,033,000
NVB,Nợ nghi ngờ	67,238,000	48,991,000	81,489,000	181,534,000
NVB,Nợ có khả năng mất vốn	492,677,000	483,407,000	490,672,000	464,861,000
OCB,Nợ đủ tiêu chuẩn	91,783,641,827	94,779,422,981	98,364,606,862	98,821,266,769
OCB,Nợ cần chú ý	2,897,106,317	1,402,933,007	2,336,585,999	4,601,685,822
OCB,Nợ dưới tiêu chuẩn	325,365,805	253,444,798	325,973,161	583,648,806
OCB,Nợ nghi ngờ	360,004,431	364,857,642	290,448,984	698,474,239
OCB,Nợ có khả năng mất vốn	785,955,128	856,431,116	733,118,032	1,011,289,104
SHB,Nợ đủ tiêu chuẩn	319,589,693,000	325,205,015,000	355,420,752,000	360,661,350,000
SHB,Nợ cần chú ý	5,057,281,000	6,663,818,000	1,830,010,000	4,643,208,000
SHB,Nợ dưới tiêu chuẩn	1,160,655,000	1,439,378,000	1,207,955,000	1,672,719,000
SHB,Nợ nghi ngờ	771,605,000	1,161,480,000	1,456,327,000	1,727,523,000
SHB,Nợ có khả năng mất vốn	4,911,407,000	4,936,603,000	2,501,081,000	3,082,543,000
SSB,Nợ đủ tiêu chuẩn	109,452,885,000	110,424,602,000	125,274,231,000	143,092,487,000
SSB,Nợ cần chú ý	161,293,000	259,296,000	209,319,000	351,507,000
